(6, 7, 5.93)
(14, 12, 5.93)
(27, 13, 4.89)
(27, 22, 6.28)
(39, 23, 6.28)
(53, 19, 0.17)
(65, 13, 1.05)
(67, 5, 6.28)
(81, 6, 6.28)
(94, 8, 6.28)
(109, 8, 6.28)
(122, 5, 6.28)
(133, 8, 4.71)
(140, 19, 5.76)
(154, 22, 5.76)
(166, 23, 0.17)
(171, 23, 0.87)
(173, 12, 6.28)
(187, 13, 6.28)
(194, 6, 0.52)
(198, 1, 4.71)
(194, 15, 4.71)
(192, 25, 3.84)
(180, 27, 4.54)
(178, 41, 4.89)
(185, 54, 4.36)
(179, 64, 4.36)
(178, 70, 3.84)
(164, 71, 4.01)
(161, 75, 5.24)
(158, 74, 2.09)
(146, 68, 3.32)
(133, 61, 3.14)
(126, 57, 1.92)
(129, 43, 2.27)
(127, 39, 1.4)
(122, 28, 1.92)
(114, 23, 4.71)
(111, 25, 4.71)
(110, 33, 1.57)
(105, 26, 2.79)
(92, 26, 4.01)
(91, 33, 2.79)
(88, 31, 1.92)
(88, 23, 3.14)
(75, 24, 3.32)
(61, 29, 3.49)
(48, 33, 4.19)
(45, 47, 4.36)
(44, 52, 3.32)
(31, 51, 2.62)
(22, 44, 1.57)
(20, 30, 2.27)
(16, 27, 2.79)
(8, 27, 1.92)
(7, 17, 1.05)
(14, 12, 5.93)
