(6, 7, 5.76)
(16, 13, 5.93)
(26, 14, 5.59)
(28, 22, 5.93)
(39, 23, 0)
(50, 19, 0)
(61, 18, 0.52)
(66, 8, 0.52)
(73, 5, 6.11)
(84, 7, 6.11)
(94, 8, 0.7)
(106, 8, 0.7)
(112, 8, 0.7)
(123, 5, 6.28)
(134, 8, 5.06)
(136, 19, 5.59)
(147, 22, 5.41)
(152, 32, 5.24)
(153, 43, 5.24)
(155, 52, 5.93)
(167, 52, 0)
(176, 59, 5.41)
(179, 70, 3.49)
(167, 70, 3.84)
(161, 74, 4.89)
(168, 82, 4.54)
(166, 93, 3.32)
(155, 94, 3.14)
(143, 94, 3.49)
(132, 98, 3.67)
(125, 107, 4.19)
(124, 118, 4.01)
(116, 126, 2.79)
(108, 119, 2.79)
(98, 113, 2.79)
(88, 107, 2.62)
(78, 102, 2.79)
(68, 97, 2.97)
(57, 95, 2.62)
(46, 94, 2.62)
(35, 93, 2.44)
(24, 89, 3.49)
(32, 81, 0.87)
(39, 74, 2.44)
(33, 71, 2.97)
(22, 71, 1.75)
(22, 60, 1.22)
(26, 49, 2.27)
(20, 40, 1.92)
(20, 28, 2.62)
(8, 28, 2.09)
(8, 16, 0.7)
(16, 13, 5.93)
